used, total, date
2.74,5.68,1648427512714
2.77,5.68,1648427513217
3.2,5.73,1648427513232
3.2,5.73,1648427513718
3.21,5.73,1648427513730
3.21,5.73,1648427514225
3.03,7.98,1648427514247
3.04,7.98,1648427514720
3.59,7.98,1648427514739
3.6,7.98,1648427515220
4.15,7.98,1648427515240
4.15,7.98,1648427515721
2.74,7.98,1648427515740
2.75,7.98,1648427516222
3.3,7.98,1648427516242
3.3,7.98,1648427516723
3.86,7.98,1648427516743
3.86,7.98,1648427517223
4.44,7.98,1648427517242
4.45,7.98,1648427517724
3,7.98,1648427517742
3.01,7.98,1648427518225
3.56,7.98,1648427518245
3.57,7.98,1648427518726
4.12,7.98,1648427518745
4.13,7.98,1648427519226
2.71,7.98,1648427519246
2.72,7.98,1648427519728
3.3,7.98,1648427519747
3.31,7.98,1648427520228
3.86,7.98,1648427520246
3.87,7.98,1648427520728
4.45,7.98,1648427520747
4.45,7.98,1648427521229
3.01,7.98,1648427521243
3.02,7.98,1648427521729
3.57,7.98,1648427521748
3.57,7.98,1648427522231
4.16,7.98,1648427522249
4.16,7.98,1648427522731
2.75,7.98,1648427522751
2.75,7.98,1648427523231
3.31,7.98,1648427523250
3.31,7.98,1648427523732
3.86,7.98,1648427523751
3.87,7.98,1648427524232
4.42,7.98,1648427524251
4.43,7.98,1648427524732
2.98,7.98,1648427524753
2.99,7.98,1648427525234
3.54,7.98,1648427525253
3.55,7.98,1648427525734
4.13,7.98,1648427525753
4.14,7.98,1648427526235
2.72,7.98,1648427526254
2.73,7.98,1648427526736
3.28,7.98,1648427526754
3.28,7.98,1648427527236
3.84,7.98,1648427527245
3.84,7.98,1648427527736
4.39,7.98,1648427527755
4.4,7.98,1648427528236
2.98,7.98,1648427528255
2.99,7.98,1648427528736
3.57,7.98,1648427528755
3.58,7.98,1648427529236
4.13,7.98,1648427529254
4.14,7.98,1648427529736
4.69,7.98,1648427529755
4.7,7.98,1648427530237
3.25,7.98,1648427530255
3.26,7.98,1648427530737
3.81,7.98,1648427530757
3.81,7.98,1648427531239
4.37,7.98,1648427531258
4.37,7.98,1648427531740
2.93,7.98,1648427531759
2.93,7.98,1648427532240
3.52,7.98,1648427532258
3.52,7.98,1648427532741
4.07,7.98,1648427532760
4.08,7.98,1648427533241
4.66,7.98,1648427533248
4.67,7.98,1648427533742
3.22,7.98,1648427533762
3.23,7.98,1648427534242
3.78,7.98,1648427534260
3.79,7.98,1648427534743
4.34,7.98,1648427534762
4.34,7.98,1648427535244
2.9,7.98,1648427535264
2.91,7.98,1648427535745
3.46,7.98,1648427535764
3.46,7.98,1648427536245
4.02,7.98,1648427536264
4.02,7.98,1648427536746
4.57,7.98,1648427536753
4.58,7.98,1648427537246
3.13,7.98,1648427537267
3.14,7.98,1648427537746
3.69,7.98,1648427537766
3.69,7.98,1648427537766
